latitude,longitude
-0.8728407052200818, 36.3385063300631
-0.8799744193313597, 36.344520866492246
-0.8835755325543759, 36.334387720551234
-0.8837586400092997, 36.329443233766305
-0.8841858904782444, 36.315891677146396
-0.8876038924707639, 36.30881068367344
-0.8961488837583308, 36.303072637290754
-0.8789368099745841, 36.29318366356616
-0.8729552904282433, 36.31009258776934
-0.8682555184258892, 36.32108033633937
-0.8891533062077417, 36.26850907340702
-0.8936359755982208, 36.275136430380705
-0.862154837864375, 36.354689162361844
-0.8737513815110649, 36.35634600160526
-0.903381540328359, 36.370903308510805
-0.8900110153175268, 36.360232592502086
-0.8815024740734753, 36.35969230308482
-0.8863645000341052, 36.332947976930335
-0.9021527525254642, 36.27082615021201
-0.8672410678364322, 36.31400686699641
-0.890289223166142, 36.26809870033535
-0.8948267255117626, 36.3654425965931
-0.8786140400724487, 36.33574972496791
-0.8837435071798445, 36.35816700842021
-0.8838219461131852, 36.33131730811843
-0.8736825730158795, 36.34044303451182
-0.8857363697008186, 36.27261876023482
-0.8987023322158941, 36.37308128622141
-0.8975421835284852, 36.27220093010501
-0.8907774164109153, 36.32355862398791
-0.8907420538578915, 36.35434534010266
-0.8797762587792686, 36.291981692078515
-0.8912732183982018, 36.29425802816053
-0.8692960772845244, 36.300541406792746
-0.8985456454102963, 36.338627349011055
-0.8882857909252295, 36.315603498548946
-0.8916508369640942, 36.34098003498413
-0.862607890158295, 36.286917183948404
-0.8980687137772079, 36.31318418963256
-0.8653014256839242, 36.30780918323034
-0.8780307757421782, 36.31453181167963
-0.8741823568054958, 36.355637338825666
-0.8695463924962691, 36.30778611676946
-0.8865310647620077, 36.32165351903439
-0.8927146677329028, 36.35996962934765
-0.8714595343685109, 36.36946780877845
-0.8970149635174807, 36.30218041463862
-0.8903503698491892, 36.314194030873175
-0.8980690018082646, 36.34960706860505
-0.8882408274147467, 36.30316212243453
-0.8696530722161898, 36.28274275733507
